glib,(of words or a speaker) fluent but insincere and shallow,adjective,2021-07-22 12:43:56.516975+00:00,2021-07-31 09:29:15.141105+00:00,3,3
jilt,suddenly reject or abandon (a lover),verb,2021-07-22 12:43:56.518974+00:00,2021-07-22 12:43:56.518974+00:00,0,0
suffuse,gradually spread through or over,verb,2021-07-22 12:43:56.521974+00:00,2021-07-22 12:43:56.521974+00:00,0,0
hegemony,leadership or dominance - especially by one state or social group over others,noun,2021-07-22 12:43:56.522975+00:00,2021-07-22 12:43:56.522975+00:00,0,0
portend,be a sign or warning that (something especially something momentous or calamitous) is likely to happen,verb,2021-07-22 12:43:56.524974+00:00,2021-07-22 12:43:56.524974+00:00,0,0
concordant,in agreement; consistent,adjective,2021-07-22 12:43:56.526975+00:00,2021-07-22 12:43:56.526975+00:00,0,0
unctuous,excessively flattering or ingratiating; oily,adjective,2021-07-22 12:43:56.527974+00:00,2021-07-22 12:43:56.527974+00:00,0,0
ameliorate,make (something bad or unsatisfactory) better,verb,2021-07-22 12:43:56.529974+00:00,2021-07-22 12:43:56.529974+00:00,0,0
suborn,bribe or otherwise induce (someone) to commit an unlawful act such as perjury,verb,2021-07-22 12:43:56.531975+00:00,2021-07-22 12:43:56.531975+00:00,0,0
fawn,(of a person) give a servile display of exaggerated flattery or affection typically in order to gain favour,verb,2021-07-22 12:43:56.533975+00:00,2021-07-22 12:43:56.533975+00:00,0,0
rive,split or tear apart violently.,verb,2021-07-22 12:43:56.535975+00:00,2021-07-22 12:43:56.535975+00:00,0,0
emulsify,make into or become an emulsion,verb,2021-07-22 12:43:56.537974+00:00,2021-07-22 12:43:56.537974+00:00,0,0
drudgery,hard menial or dull work.,noun,2021-07-22 12:43:56.538975+00:00,2021-07-22 12:43:56.538975+00:00,0,0
garble,reproduce (a message sound or transmission) in a confused and distorted way,verb,2021-07-22 12:43:56.540975+00:00,2021-07-22 12:43:56.540975+00:00,0,0
strident,(of a sound) loud and harsh; grating,adjective,2021-07-22 12:43:56.542975+00:00,2021-07-22 12:43:56.542975+00:00,0,0
descry,catch sight of,verb,2021-07-22 12:43:56.544974+00:00,2021-07-22 12:43:56.544974+00:00,0,0
sinuous,having many curves and turns,adjective,2021-07-22 12:43:56.546975+00:00,2021-07-22 12:43:56.546975+00:00,0,0
intrepid,fearless; adventurous (often used for rhetorical or humorous effect),adjective,2021-07-22 12:43:56.548974+00:00,2021-07-22 12:43:56.548974+00:00,0,0
capricious,given to sudden and unaccountable changes of mood or behaviour.,adjective,2021-07-22 12:43:56.550806+00:00,2021-07-22 12:43:56.550806+00:00,0,0
doleful,expressing sorrow; mournful,adjective,2021-07-22 12:43:56.511976+00:00,2021-07-22 12:43:56.511976+00:00,0,0
sumptuous,splendid and expensive-looking,adjective,2021-07-22 12:43:56.514977+00:00,2021-07-22 12:43:56.514977+00:00,0,0
fickle,changing frequently especially as regards one's loyalties or affections.,adjective,2021-07-22 12:43:56.551818+00:00,2021-07-22 12:43:56.551818+00:00,0,0
filibuster,act in an obstructive manner in a legislative assembly especially by speaking at inordinate length.,verb,2021-07-22 12:43:56.554079+00:00,2021-07-22 12:43:56.554079+00:00,0,0
obstinate,stubbornly refusing to change one's opinion or chosen course of action despite attempts to persuade one to do so,adjective,2021-07-22 12:43:56.556085+00:00,2021-07-22 12:43:56.556085+00:00,0,0
canvass,propose (an idea or plan) for discussion,verb,2021-07-22 12:43:56.558085+00:00,2021-07-22 12:43:56.558085+00:00,0,0
indemnify,compensate (someone) for harm or loss,verb,2021-07-22 12:43:56.560060+00:00,2021-07-22 12:43:56.560060+00:00,0,0
doggedly,in a manner that shows tenacity and grim persistence,adverb,2021-07-22 12:43:56.562059+00:00,2021-07-22 12:43:56.562059+00:00,0,0
plod,walk doggedly and slowly with heavy steps,verb,2021-07-22 12:43:56.564059+00:00,2021-07-31 09:02:19.288366+00:00,2,2
recalcitrant,having an obstinately uncooperative attitude towards authority or discipline,adjective,2021-07-22 12:43:56.565059+00:00,2021-07-22 12:43:56.565059+00:00,0,0
indignant,feeling or showing anger or annoyance at what is perceived as unfair treatment.,adjective,2021-07-22 12:43:56.567059+00:00,2021-07-22 12:43:56.567059+00:00,0,0
palatial,resembling a palace in being spacious and splendid,adjective,2021-07-22 12:43:56.569060+00:00,2021-07-22 12:43:56.569060+00:00,0,0
surcease,(archaic) ending; cessation/relief or consolation,noun,2021-07-22 12:43:56.571060+00:00,2021-07-22 12:43:56.571060+00:00,0,0
perennial,lasting or existing for a long or apparently infinite time; enduring or continually recurring,adjective,2021-07-22 12:43:56.573060+00:00,2021-07-22 12:43:56.573060+00:00,0,0
rustic,relating to the countryside; rural/made in a plain and simple fashion,adjective,2021-07-22 12:43:56.575060+00:00,2021-07-22 12:43:56.575060+00:00,0,0
discourteous,showing rudeness and a lack of consideration for other people,adjective,2021-07-22 12:43:56.577060+00:00,2021-07-22 12:43:56.577060+00:00,0,0
jettison,throw or drop (something) from an aircraft or ship,verb,2021-07-22 12:43:56.579060+00:00,2021-07-22 12:43:56.579060+00:00,0,0
austerity,sternness or severity of manner or attitude/difficult economic conditions created by government measures to reduce public expenditure,noun,2021-07-22 12:43:56.581060+00:00,2021-07-22 12:43:56.581060+00:00,0,0
arrogate,take or claim (something) without justification,verb,2021-07-22 12:43:56.583060+00:00,2021-07-22 12:43:56.583060+00:00,0,0
remunerative,financially rewarding; lucrative,adjective,2021-07-22 12:43:56.585060+00:00,2021-07-22 12:43:56.585060+00:00,0,0
blithe,showing a casual and cheerful indifference considered to be callous or improper,adjective,2021-07-22 12:43:56.587060+00:00,2021-07-22 12:43:56.587060+00:00,0,0
callous,showing or having an insensitive and cruel disregard for others,adjective,2021-07-22 12:43:56.589060+00:00,2021-07-22 12:43:56.589060+00:00,0,0
congenial,friendly and pleasant,adjective,2021-07-22 12:43:56.591060+00:00,2021-07-22 12:43:56.591060+00:00,0,0
mosey,to walk or go slowly usually without a special purpose,verb,2021-07-22 12:43:56.593060+00:00,2021-07-22 12:43:56.593060+00:00,0,0
daub,carelessly coat or smear (a surface) with a thick or sticky substance,verb,2021-07-22 12:43:56.595060+00:00,2021-07-22 12:43:56.595060+00:00,0,0
inclement,(of the weather) unpleasantly cold or wet,adjective,2021-07-22 12:43:56.598061+00:00,2021-07-22 12:43:56.598061+00:00,0,0
hapless,(especially of a person) unfortunate,adjective,2021-07-22 12:43:56.600060+00:00,2021-07-22 12:43:56.600060+00:00,0,0
shamble,to walk slowly and awkwardly without lifting your feet correctly,verb,2021-07-22 12:43:56.602060+00:00,2021-07-22 12:43:56.602060+00:00,0,0
pittance,a very small or inadequate amount of money.,noun,2021-07-22 12:43:56.605060+00:00,2021-07-22 12:43:56.605060+00:00,0,0
acquit,free (someone) from a criminal charge by a verdict of not guilty/conduct oneself or perform in a specified way,verb,2021-07-22 12:43:56.607060+00:00,2021-07-22 12:43:56.607060+00:00,0,0
proliferation,rapid increase in the number or amount of something,noun,2021-07-22 12:43:56.609060+00:00,2021-07-22 12:43:56.609060+00:00,0,0
affront,an action or remark that causes outrage or offence,noun,2021-07-22 12:43:56.611059+00:00,2021-07-22 12:43:56.611059+00:00,0,0
spurn,reject with disdain or contempt,verb,2021-07-22 12:43:56.613059+00:00,2021-07-22 12:43:56.613059+00:00,0,0
stalwart,loyal reliable and hard-working,adjective,2021-07-22 12:43:56.615059+00:00,2021-07-22 12:43:56.615059+00:00,0,0
prodigious,remarkably or impressively great in extent size or degree,adjective,2021-07-22 12:43:56.617060+00:00,2021-07-22 12:43:56.617060+00:00,0,0
vituperate,blame or insult (someone) in strong or violent language,verb,2021-07-22 12:43:56.619060+00:00,2021-07-22 12:43:56.619060+00:00,0,0
inveigh,speak or write about (something) with great hostility.,verb,2021-07-22 12:43:56.621060+00:00,2021-07-22 12:43:56.621060+00:00,0,0
gruff,(of a person's voice) low and unfriendly or (of a person's behaviour) unfriendly or showing no patience,adjective,2021-07-22 12:43:56.623060+00:00,2021-07-22 12:43:56.623060+00:00,0,0
acquiesce,accept something reluctantly but without protest,verb,2021-07-22 12:43:56.625060+00:00,2021-07-22 12:43:56.625060+00:00,0,0
maelstrom,a powerful whirlpool in the sea or a river/a situation or state of confused movement or violent turmoil.,noun,2021-07-22 12:43:56.628060+00:00,2021-07-22 12:43:56.628060+00:00,0,0
emboss,carve mould or stamp a design on (a surface or object) so that it stands out in relief.,verb,2021-07-22 12:43:56.630060+00:00,2021-07-22 12:43:56.630060+00:00,0,0
banal,so lacking in originality as to be obvious and boring,adjective,2021-07-22 12:43:56.632060+00:00,2021-07-22 12:43:56.632060+00:00,0,0
peeve,annoy or irritate,verb,2021-07-22 12:43:56.634060+00:00,2021-07-22 12:43:56.634060+00:00,0,0
prate,talk foolishly or at tedious length about something.,verb,2021-07-22 12:43:56.637059+00:00,2021-07-22 12:43:56.637059+00:00,0,0
pore,(over) to read or study (something) very carefully,verb,2021-07-22 12:43:56.639060+00:00,2021-07-22 12:43:56.639060+00:00,0,0
